2021-10-26 10:12:47 DEBUG chesslib.c:87: g_init_chess_lib
2021-10-26 10:13:50 DEBUG chesslib.c:87: g_init_chess_lib
2021-10-26 10:13:51 DEBUG chesslib.c:100: g_close_chess_lib
2021-10-26 10:15:15 DEBUG chesslib.c:87: g_init_chess_lib
2021-10-26 10:15:35 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:15:37 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:15:39 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:15:40 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:15:44 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:15:45 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:15:47 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:15:49 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:15:52 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:15:55 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:15:59 DEBUG chesslib.c:100: g_close_chess_lib
2021-10-26 10:16:06 DEBUG chesslib.c:87: g_init_chess_lib
2021-10-26 10:17:16 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:17:17 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:17:20 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:17:23 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:17:24 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:17:29 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:17:32 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:17:32 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:17:40 DEBUG chesslib.c:183: g_move_to | is_castling = 0
2021-10-26 10:36:33 DEBUG chesslib.c:100: g_close_chess_lib
2021-10-26 10:38:33 DEBUG chesslib.c:87: g_init_chess_lib
2021-10-26 10:38:39 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:38:39 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:38:40 DEBUG chesslib.c:183: g_move_to | en_passant = 26
2021-10-26 10:38:40 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:38:46 DEBUG chesslib.c:100: g_close_chess_lib
2021-10-26 10:42:12 DEBUG chesslib.c:87: g_init_chess_lib
2021-10-26 10:42:16 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:42:16 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:42:17 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:42:17 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:42:18 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:42:18 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:42:21 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:42:21 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:42:22 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:42:22 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:42:24 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:42:24 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:42:25 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:42:25 DEBUG chesslib.c:184: g_move_to | is_castling = 1
2021-10-26 10:42:25 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:42:25 DEBUG chesslib.c:184: g_move_to | is_castling = 1
2021-10-26 10:42:30 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:42:30 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:42:36 DEBUG chesslib.c:100: g_close_chess_lib
2021-10-26 10:44:51 DEBUG chesslib.c:87: g_init_chess_lib
2021-10-26 10:44:53 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:44:53 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:44:54 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:44:54 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:44:55 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:44:55 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:44:57 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:44:57 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:44:57 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:44:57 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:00 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:00 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:00 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:00 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:02 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:02 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:03 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:03 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:06 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:06 DEBUG chesslib.c:184: g_move_to | is_castling = 0
2021-10-26 10:45:10 DEBUG chesslib.c:183: g_move_to | en_passant = 0
2021-10-26 10:45:10 DEBUG chesslib.c:184: g_move_to | is_castling = 1
2021-10-26 10:45:10 DEBUG chesslib.c:183: g_move_to | en_passant = 0
